Locality,Type,Price,Rooms,Living area(m2),Plot(m2),Installed Kitchen,Furnished,Fireplace,Terrace,Terrace Surface(m2),Garden,Garden Surface(m2),No.Facades,Swimming Pool,Condition,Construction Year,Energy Label
Antwerpen-berchem,House,575000€,6,340,,,,,,,,,2,,As new,,D
Edegem,House,625000€,5,215,160,0,,,,,,,,,To be done up,1924,D
Helecine,House,265000€,2,104,955,1,0,,1,11,1,813,4,0,To renovate,1965,G
Schaerbeek,House,360000€,7,252,102,1,0,,,,1,30,2,0,To be done up,1949,E
Ronse,Bungalow,229000€,3,115,544,1,0,,1,10,1,170,4,0,To be done up,1965,F
Huy,House,89000€,1,59,149,0,0,,1,94,1,94,3,0,To renovate,1850,E
Geraardsbergen,House,449000€,3,230,500,0,,,1,18,1,353,2,,As new,,A++
Gistel,House,550000€,3,228,462,0,,,,,,,,,,,Not specified
Geel,Villa,895000€,4,393,3281,,,,1,,,,,,As new,2010,A
Lebbeke,House,325000€,3,137,357,0,0,,1,,1,230,3,0,Just renovated,,C
Zellik,House,319000€,3,193,500,0,0,,1,,,,3,0,To renovate,1945,F
Pont-a-celles-luttre,House,160000€,4,150,3022,0,0,,,,1,2900,3,0,To renovate,1920,G
Bierges,Town-house,425000€,4,150,340,1,,,1,,,,4,,,1975,D
Kapellen,Villa,2500000€,4,500,4478,,,,,,1,4478,4,,Good,2024,A
Stabroek,House,478000€,5,195,231,0,0,1,1,16,1,63,2,0,As new,1993,B
Brasschaat,House,2150000€,6,640,5848,0,0,1,1,,,,4,0,Good,1967,B
Liedekerke,House,219000€,2,130,125,1,0,,,,,,2,0,Good,1939,E
Hemiksem,House,329000€,3,162,,0,,,1,,,,2,,,1971,D
Holsbeek,House,648000€,3,189,418,0,0,,1,,,,3,0,As new,1998,C
Tongeren,House,285000€,3,188,118,0,0,,,,,,3,0,,1930,D
Braine-le-comte,House,399000€,4,330,627,1,0,,1,,1,450,3,0,,,D
Woluwe-saint-lambert,House,895000€,7,320,200,0,0,,1,28,1,50,2,0,To renovate,1910,G
Halle,House,370000€,3,257,138,,,,1,,,,3,,Good,1994,B
Saint-gilles,Apartment-block,390000€,,135,45,0,,,,,,,2,,To renovate,1903,Not specified
Gent,House,580000€,3,230,1049,1,,,,,,,4,,To be done up,1990,C
Anderlecht,Apartment-block,500000€,5,,125,0,,,,,1,39,,,Good,1918,F
Knokke-heist,House,2485000€,3,233,808,1,,,1,,1,808,4,,To be done up,,D
Knokke-heist,Villa,1450000€,4,241,1116,,,1,1,,,,4,,To be done up,1983,B
Brasschaat,House,425000€,3,259,150,0,,,,,,,2,,,1935,D
La-louviere,Villa,200000€,1,65,1049,0,,,1,46,,,4,,To renovate,1949,G
Leval-trahegnies,House,220000€,3,105,420,,,,1,75,1,286,3,,Good,,G
Grivegnee,Apartment-block,275000€,3,166,115,1,0,,1,29,,,2,0,Good,1947,D
